2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=0
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=1
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=0, valid_percentage=0.0%
2025-09-04 16:48:49 EST | INFO     | community_engagement_etl.processors.csb_processor | csb_processor.py:78 | Processing complete: 0 valid rows
2025-09-04 16:50:21 EST | INFO     | community_engagement_etl | logger_setup.py:94 | Logger 'community_engagement_etl' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\community_engagement_etl.log
2025-09-04 16:50:21 EST | INFO     | community_engagement_etl | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 16:50:21 EST | INFO     | community_engagement_etl.processors.community_engagement_processor | community_engagement_processor.py:55 | Processing Community Engagement data from C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Community_Engagement\Community_Engagement_Monthly.xlsx
2025-09-04 16:50:21 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Community_Engagement\Community_Engagement_Monthly.xlsx, sheet=2025_Master
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=100, columns=18
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=5
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=5
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=0
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=100
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=100, valid_percentage=100.0%
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.community_engagement_processor | community_engagement_processor.py:77 | Processing complete: 100 valid rows
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.stacp_processor | stacp_processor.py:52 | Processing STACP data from C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\STACP\STACP.xlsm
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\STACP\STACP.xlsm, sheet=25_School_Outreach
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=245, columns=15
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=5
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=5
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=3
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=245
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=245, valid_percentage=100.0%
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.stacp_processor | stacp_processor.py:74 | Processing complete: 245 valid rows
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.patrol_processor | patrol_processor.py:53 | Processing Patrol data from C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Patrol\patrol_monthly.xlsm
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Patrol\patrol_monthly.xlsm, sheet=Main_Outreach_Combined
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=74, columns=7
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=6
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=6
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=0
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=74
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=74, valid_percentage=100.0%
2025-09-04 16:50:22 EST | INFO     | community_engagement_etl.processors.patrol_processor | patrol_processor.py:75 | Processing complete: 74 valid rows
2025-09-04 16:50:50 EST | INFO     | community_engagement_etl | logger_setup.py:94 | Logger 'community_engagement_etl' initialized - Log file: C:\Users\carucci_r\OneDrive - City of Hackensack\02_ETL_Scripts\Community_Engagment\logs\community_engagement_etl.log
2025-09-04 16:50:50 EST | INFO     | community_engagement_etl | logger_setup.py:95 | Log rotation: 10,485,760 bytes, 5 backups
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.community_engagement_processor | community_engagement_processor.py:55 | Processing Community Engagement data from C:\Users\CARUCC~1\AppData\Local\Temp\tmpcum6hu9b\community_engagement_test.xlsx
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\CARUCC~1\AppData\Local\Temp\tmpcum6hu9b\community_engagement_test.xlsx, sheet=Sheet1
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=3, columns=6
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=5
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Community Event' not found in data
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Date of Event' not found in data
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Event Location' not found in data
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=2
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=3
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=3
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=0, valid_percentage=0.0%
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.community_engagement_processor | community_engagement_processor.py:77 | Processing complete: 0 valid rows
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.stacp_processor | stacp_processor.py:52 | Processing STACP data from C:\Users\CARUCC~1\AppData\Local\Temp\tmpcum6hu9b\stacp_test.xlsx
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting read_excel_source with file=C:\Users\CARUCC~1\AppData\Local\Temp\tmpcum6hu9b\stacp_test.xlsx, sheet=Sheet1
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation read_excel_source completed successfully - rows=3, columns=7
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting standardize_columns with mapping_count=5
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'School Outreach Conducted ' not found in data
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Start Time' not found in data
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'End Time' not found in data
2025-09-04 16:50:51 EST | WARNING  | community_engagement_etl.processors.excel_processor | excel_processor.py:94 | Source column 'Location' not found in data
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation standardize_columns completed successfully - renamed_columns=1
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting calculate_duration with start_col=start_time, end_col=end_time
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation calculate_duration completed successfully - calculated=0
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:126 | Starting validate_data with required_fields=2, rows=3
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.excel_processor | logger_setup.py:141 | Operation validate_data completed successfully - valid_rows=0, valid_percentage=0.0%
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.stacp_processor | stacp_processor.py:74 | Processing complete: 0 valid rows
2025-09-04 16:50:51 EST | INFO     | community_engagement_etl.processors.patrol_processor | patrol_processor.py:53 | Processing Patrol data from C:\Users\CARUCC~1\AppData\Local\Temp\tmpcum6hu9b\patrol_test.xlsx
